geoid,name,longitude,latitude,pop_with_access
100124,"Abbeville, AL",-85.2591227,31.564724,2522
100460,"Adamsville, AL",-86.97152690000001,33.6023153,3892
100484,"Addison, AL",-87.1780043,34.2026811,709
100676,"Akron, AL",-87.7408993,32.8790657,60
100820,"Alabaster, AL",-86.8473723,33.244398600000004,31440
100988,"Albertville, AL",-86.21066,34.26313029999999,19149
101132,"Alexander City, AL",-85.937122,32.9272402,8469
101180,"Alexandria, AL",-85.87200820000001,33.760819,2796
101228,"Aliceville, AL",-88.1593444,33.1237058,2331
101396,"Allgood, AL",-86.5161092,33.9076226,414
101660,"Altoona, AL",-86.30517859999999,34.0400139,908
101708,"Andalusia, AL",-86.4780311,31.3094363,6223
101852,"Anniston, AL",-85.8108912,33.6734685,20967
102116,"Arab, AL",-86.50116650000001,34.332386799999995,6864
102260,"Ardmore, AL",-86.8290225,34.9878376,1423
102320,"Argo, AL",-86.5052809,33.6910177,3328
102428,"Ariton, AL",-85.7130614,31.5977718,681
102500,"Arley, AL",-87.2178311,34.0762335,267
102836,"Ashford, AL",-85.23623559999999,31.185284399999997,2217
102860,"Ashland, AL",-85.8337064,33.2698922,1684
102908,"Ashville, AL",-86.2700148,33.8351967,2277
102956,"Athens, AL",-86.95079859999998,34.7790209,17445
103004,"Atmore, AL",-87.4577975,31.124066499999998,6301
103028,"Attalla, AL",-86.1210365,33.9861893,5729
103076,"Auburn, AL",-85.4895446,32.607721999999995,26918
103364,"Avon, AL",-85.2792111,31.1797269,456
103508,"Axis, AL",-88.0226202,30.9221711,320
103556,"Babbie, AL",-86.3194368,31.3020825,486
103676,"Baileyton, AL",-86.6087877,34.2608584,535
103820,"Ballplay, AL",-85.8014777,34.0230465,1118
103940,"Banks, AL",-85.8364335,31.8132641,177
104660,"Bay Minette, AL",-87.7913063,30.8944358,8615
104684,"Bayou La Batre, AL",-88.26327090000001,30.407586,2048
104852,"Bear Creek, AL",-87.71339880000001,34.2554809,835
104948,"Beaverton, AL",-88.0217777,33.935411200000004,145
105140,"Belgreen, AL",-87.86167840000002,34.474540000000005,73
