City,Population,MedianIncome,PopulationWithHighSchoolDiploma,PopulationWithAssociatesDegree,PopulationWithBachelorsDegree,PopulationWithHighSpeedInternet,Latitude,Longitude
"Aaronsburg, PA",1327.0,59531.0,274.0,56.0,72.0,181,40.0108232,-80.00092640000003
"Abbeville, AL",6275.0,39983.0,1329.0,433.0,335.0,2522,31.564724,-85.2591227
"Abbeville, GA",4547.0,32105.0,994.0,180.0,206.0,2465,31.992575800000004,-83.3064525
"Abbeville, LA",25623.0,49663.0,5450.0,1216.0,1734.0,11765,29.9753954,-92.1271575
"Abbeville, MS",2073.0,43886.0,372.0,199.0,200.0,468,34.5033917,-89.502517
"Abbeville, SC",13086.0,39409.0,2526.0,1311.0,1082.0,4572,34.178544,-82.3776868
"Abbotsford, WI",3061.0,50426.0,797.0,160.0,186.0,2031,44.9435105,-90.3173167
"Abbottstown, PA",4479.0,72206.0,1272.0,272.0,356.0,1013,39.8817661,-76.99277690000002
"Abercrombie, ND",35.0,130000.0,17.0,5.0,3.0,261,46.447039200000006,-96.7295247
"Aberdeen Proving Ground, MD",2872.0,94643.0,288.0,184.0,297.0,2060,39.4542318,-76.1335421
"Aberdeen, ID",3576.0,44808.0,634.0,119.0,160.0,2019,42.9440982,-112.83838090000002
"Aberdeen, MD",24752.0,68942.0,4394.0,1609.0,2822.0,15324,39.5158557,-76.17018
"Aberdeen, MS",11603.0,40180.0,2344.0,662.0,1053.0,4270,33.828299200000004,-88.55474129999998
"Aberdeen, NC",13303.0,51404.0,1822.0,1154.0,1915.0,6976,35.1345916,-79.4354506
"Aberdeen, OH",2184.0,31827.0,660.0,95.0,78.0,1482,38.6717091,-83.77086640000002
"Aberdeen, SD",32831.0,56276.0,5525.0,2409.0,4659.0,25968,45.4646777,-98.468104
"Aberdeen, WA",24286.0,50849.0,4433.0,1577.0,1616.0,16592,46.9752047,-123.8113726
"Abernathy, TX",3415.0,49861.0,521.0,114.0,374.0,2702,33.8348853,-101.8381965
"Abie, NE",59.0,71250.0,24.0,5.0,3.0,67,41.3341039,-96.9497472
"Abilene, KS",10124.0,52680.0,2115.0,566.0,1374.0,6108,38.924483,-97.2278998
"Abilene, TX",130737.0,-111067574.33333333,19275.0,6509.0,12620.0,102979,32.4545143,-99.7381473
"Abingdon, IL",3921.0,48864.0,1028.0,393.0,269.0,3307,40.8037811,-90.4009353
"Abingdon, MD",29905.0,89750.0,4059.0,1975.0,5251.0,4672,39.4634724,-76.27314009999998
"Abingdon, VA",26369.0,54108.0,4807.0,1956.0,3394.0,7327,36.7066646,-81.9716269
"Abington, MA",16436.0,99381.0,3062.0,1201.0,3185.0,16363,42.1157637,-70.956597
"Abiquiu, NM",987.0,48112.0,91.0,49.0,297.0,178,36.2017258,-106.32385159999998
"Abita Springs, LA",8490.0,72314.0,1349.0,249.0,1510.0,2279,30.473491,-90.0203276
"Abrams, WI",2723.0,78047.0,696.0,308.0,302.0,343,44.77962520000001,-88.0603831
"Absarokee, MT",1558.0,58482.0,355.0,124.0,261.0,1084,45.5275933,-109.4557652
"Absecon, NJ",36519.0,66514.5,7278.0,2344.0,5624.0,7962,39.42356289999999,-74.49302490000002
"Acampo, CA",7576.0,85906.0,1371.0,580.0,546.0,380,38.1735286,-121.2798915
"Accident, MD",2200.0,58625.0,361.0,201.0,282.0,326,39.6256877,-79.3199584
"Accokeek, MD",10843.0,132690.0,1290.0,497.0,1928.0,8487,38.676533,-77.0005175
"Accomac, VA",1721.0,44286.0,255.0,18.0,68.0,513,37.7195614,-75.6677838
"Accord, NY",3334.0,52011.0,629.0,183.0,496.0,562,41.8014913,-74.23025770000002
"Accoville, WV",1531.0,42679.0,473.0,59.0,18.0,13,37.7647297,-81.8269499
"Achille, OK",479.0,37625.0,121.0,27.0,48.0,546,33.834616600000004,-96.3901694
"Ackerly, TX",493.0,60577.0,90.0,4.0,47.0,221,32.5250625,-101.7158467
"Ackerman, MS",3319.0,36638.0,684.0,130.0,376.0,1200,33.3106488,-89.17024649999998
"Ackley, IA",2638.0,58636.0,530.0,240.0,393.0,1563,42.551695,-93.0522724
"Ackworth, IA",932.0,91354.0,174.0,64.0,127.0,106,41.36422750000001,-93.4723035
"Acme, WA",779.0,87500.0,177.0,92.0,68.0,196,48.7164286,-122.2099617
"Acton, CA",7644.0,105714.0,981.0,597.0,1111.0,6754,34.4960703,-118.183897
"Acworth, GA",101793.0,79414.0,13174.0,5450.0,17181.0,22350,34.0619906,-84.6811215
"Ada, MN",2249.0,56016.0,485.0,217.0,249.0,1432,47.2988594,-96.5164976
"Ada, OH",8006.0,54570.0,1384.0,345.0,765.0,5491,40.7681441,-83.8251923
"Ada, OK",31342.0,49444.0,5295.0,1066.0,3698.0,16229,34.7662861,-96.666802
"Adair, IA",1417.0,61875.0,406.0,185.0,134.0,652,41.500225,-94.6440518
"Adair, IL",397.0,75278.0,124.0,78.0,48.0,211,40.418307,-90.497373
"Adair, OK",2989.0,59321.0,576.0,195.0,186.0,787,36.43641,-95.2734452
"Adairsville, GA",15787.0,48509.0,2801.0,1029.0,858.0,4628,34.3708459,-84.92119240000002
"Adairville, KY",2312.0,45625.0,479.0,71.0,173.0,866,36.6750396,-86.8582041
"Adams Center, NY",2512.0,67054.0,625.0,269.0,275.0,730,43.8699886,-75.98866340000002
"Adams Run, SC",1826.0,40290.0,431.0,118.0,138.0,657,32.721864000000004,-80.3464993
"Adams, MA",8179.0,53223.0,2130.0,572.0,1027.0,5578,42.6290849,-73.1187471
"Adams, MN",1467.0,66838.0,353.0,145.0,210.0,792,43.5653628,-92.7190398
"Adams, ND",319.0,50833.0,61.0,45.0,60.0,127,48.42054520000001,-98.0739582
"Adams, NE",1331.0,74000.0,279.0,95.0,212.0,513,40.459011,-96.5073628
"Adams, NY",5014.0,54709.0,867.0,504.0,314.0,1597,43.8102182,-76.02297840000001
"Adams, OK",199.0,63125.0,15.0,12.0,14.0,132,36.7545812,-101.0751637
"Adams, OR",1105.0,77396.0,136.0,92.0,134.0,360,45.7663511,-118.5640874
"Adams, TN",4966.0,85063.0,691.0,238.0,543.0,42,36.5828099,-87.06511309999998
"Adams, WI",3345.0,36429.0,866.0,168.0,185.0,1952,43.95523970000001,-89.8165478
"Adamsburg, PA",771.0,32292.0,236.0,89.0,81.0,126,40.312434,-79.65427890000002
"Adamstown, MD",4859.0,121250.0,677.0,370.0,722.0,1963,39.3070006,-77.4692955
"Adamstown, PA",1239.0,62554.0,398.0,105.0,84.0,1753,40.244477,-76.064701
